id;placed_date;status;invoice_id;code
1;2021-12-10T14:53:10;COMPLETED;11446;lavender
2;2021-12-10T18:31:10;CANCELLED;64871;e-enable one-to-one
3;2021-12-10T01:33:30;COMPLETED;91159;background out-of-the-box withdrawal
4;2021-12-09T23:47:03;COMPLETED;47588;Concrete
5;2021-12-10T04:49:29;CANCELLED;63689;Car hybrid Generic
6;2021-12-10T04:03:37;CANCELLED;37922;harness Holy United
7;2021-12-10T13:11:02;COMPLETED;15762;Visionary
8;2021-12-10T01:57:47;CANCELLED;1365;Credit Soft Cotton
9;2021-12-10T17:32:20;CANCELLED;52097;Implemented
10;2021-12-10T15:47:59;COMPLETED;61775;solution protocol
